content_id,content,subject,sentiment_value,sentiment_word,text_seg
vUXizsqexyZVRdFH,因为森林人即将换代，这套系统没必要装在一款即将换代的车型上，因为肯定会影响价格。,价格,0,影响,因为 森林人 即将 换代 ， 这套 系统 没 必要 装在 一款 即将 换代 的 车型 上 ， 因为 肯定 会 影响 价格 。
4QroPd9hNfnCHVt7,四驱价格貌似挺高的，高的可以看齐XC60了，看实车前脸有点违和感。不过大众的车应该不会差。,价格,-1,高,四驱 价格 貌似 挺 高 的 ， 高 的 可以 看齐 XC60 了 ， 看实车 前 脸 有点 违和感 。 不过 大众 的 车 应该 不会 差 。
QmqJ2AvM5GplaRyz,斯柯达要说质量，似乎比大众要好一点，价格也低一些，用料完全一样。我听说过野帝，但没听说过你说这车。   ,价格,1,低,斯柯达 要说 质量 ， 似乎 比 大众 要 好 一点 ， 价格 也 低 一些 ， 用料 完全 一样 。 我 听说 过 野帝 ， 但 没听说过 你 说 这车 。      
KMT1gFJiU4NWrVDn,这玩意都是给有钱任性又不懂车的土豪用的，这价格换一次我妹夫EP020可以换三锅了,价格,-1,有钱任性,这 玩意 都 是 给 有钱 任性 又 不 懂车 的 土豪 用 的 ， 这 价格 换 一次 我 妹夫 EP020 可以 换 三锅 了
nVIlGd5yMmc37t1o,17价格忒高，估计也就是14-15左右。   ,价格,-1,高,17 价格 忒 高 ， 估计 也 就是 14 - 15 左右 。      
TVciHBPL5XmUxMEd,我开始就是荣放2.5  森林人2.5二选一    荣放主要是底盘质感不行   太硬  其次是不能打开的天窗  和公主坟   不过价格确实便宜    少了5W块,价格,1,便宜,我 开始 就是 荣放 2.5     森林人 2.5 二选 一         荣放 主要 是 底盘 质感 不行       太硬     其次 是 不能 打开 的 天窗     和 公主坟       不过 价格 确实 便宜         少 了 5W 块
4lb9TsO5rjqUy1Bu,唉，这货的价格死硬死硬的，低配版优惠1万据说已经罕有了。    ,价格,-1,死硬,唉 ， 这货 的 价格 死硬 死硬 的 ， 低配 版 优惠 1 万 据说 已经 罕有 了 。        
z98xV7MphZIF4EvO,价格的话只能说一般般吧，太仓前段时间定的比你便宜！    ,价格,0,一般,价格 的话 只能 说 一般般 吧 ， 太仓 前段时间 定 的 比 你 便宜 ！        
hoWrMnGTUvdsK3Dm,听过，价格太贵，但一直念念不忘    ,价格,-1,贵,听过 ， 价格 太贵 ， 但 一直 念念不忘        
r1WHgbI0ZKqMdELy,恭喜恭喜，这个优惠不错哦！,价格,1,优惠不错,恭喜 恭喜 ， 这个 优惠 不错 哦 ！
JSQUo6kblXYvtc2h,优惠幅度不小了，北京优惠八千,价格,1,优惠幅度不小,优惠 幅度 不小 了 ， 北京 优惠 八千
7kCF590PjAYqzEL6,优惠可以了！购进吧！买了不会后悔的！时间可鉴！   ,价格,1,不会后悔,优惠 可以 了 ！ 购进 吧 ！ 买 了 不会 后悔 的 ！ 时间 可鉴 ！      
EXBiRczhIu3paJWb,现在 什么价 优惠多少,价格,0,优惠,现在   什么 价   优惠 多少
nQ0bIZtzj6P1Esgd,优惠一万一 送贴膜装甲脚垫 铁西庞大,价格,0,优惠,优惠 一 万一   送 贴膜 装甲 脚垫   铁西 庞大
JvXIqLT8cGDuPEWe,我也大连的，最近也考虑入手森林人，优惠太小了,价格,-1,优惠太小,我 也 大连 的 ， 最近 也 考虑 入手 森林人 ， 优惠 太小 了
NXyGEbt0AZ5rHJ3e,山东威海全系这才优惠3000，MD,价格,-1,才优惠,山东 威海 全系 这 才 优惠 3000 ， MD
kN0LghcimajxWwH8,下手了，豪导特供，优惠1.6万,价格,0,优惠,下手 了 ， 豪导 特供 ， 优惠 1.6 万
vVoKucJy5pO0jSk2,优惠了8000，什么都不送。    ,价格,0,优惠,优惠 了 8000 ， 什么 都 不 送 。        
